filename,dataset,reason
corrected_273.jpg,Kaggle,low DPI: 72
corrected_274.jpg,Kaggle,low DPI: 72
corrected_275.jpg,Kaggle,low DPI: 72
corrected_276.jpg,Kaggle,low DPI: 72
corrected_277.jpg,Kaggle,low DPI: 72
corrected_278.jpg,Kaggle,low DPI: 72
corrected_279.jpg,Kaggle,low DPI: 72
corrected_280.jpg,Kaggle,low DPI: 72
corrected_281.jpg,Kaggle,low DPI: 72
corrected_282.jpg,Kaggle,low DPI: 72
corrected_283.jpg,Kaggle,low DPI: 72
corrected_284.jpg,Kaggle,low DPI: 72
corrected_285.jpg,Kaggle,low DPI: 72
corrected_286.jpg,Kaggle,low DPI: 72
corrected_287.jpg,Kaggle,low DPI: 72
corrected_288.jpg,Kaggle,low DPI: 72
corrected_289.jpg,Kaggle,low DPI: 72
corrected_290.jpg,Kaggle,low DPI: 72
corrected_291.jpg,Kaggle,low DPI: 72
corrected_292.jpg,Kaggle,low DPI: 72
corrected_293.jpg,Kaggle,low DPI: 72
corrected_294.jpg,Kaggle,low DPI: 72
corrected_295.jpg,Kaggle,low DPI: 72
corrected_296.jpg,Kaggle,low DPI: 72
corrected_297.jpg,Kaggle,low DPI: 72
corrected_298.jpg,Kaggle,low DPI: 72
corrected_299.jpg,Kaggle,low DPI: 72
corrected_300.jpg,Kaggle,low DPI: 72
corrected_301.jpg,Kaggle,low DPI: 72
corrected_302.jpg,Kaggle,low DPI: 72
corrected_303.jpg,Kaggle,low DPI: 72
corrected_304.jpg,Kaggle,low DPI: 72
corrected_305.jpg,Kaggle,low DPI: 72
corrected_306.jpg,Kaggle,low DPI: 72
corrected_307.jpg,Kaggle,low DPI: 72
corrected_308.jpg,Kaggle,low DPI: 72
corrected_309.jpg,Kaggle,low DPI: 72
corrected_310.jpg,Kaggle,low DPI: 72
corrected_311.jpg,Kaggle,low DPI: 72
corrected_312.jpg,Kaggle,low DPI: 72
corrected_313.jpg,Kaggle,low DPI: 72
corrected_314.jpg,Kaggle,low DPI: 72
corrected_315.jpg,Kaggle,low DPI: 72
corrected_316.jpg,Kaggle,low DPI: 72
corrected_317.jpg,Kaggle,low DPI: 72
corrected_318.jpg,Kaggle,low DPI: 72
corrected_319.jpg,Kaggle,low DPI: 72
corrected_320.jpg,Kaggle,low DPI: 72
corrected_321.jpg,Kaggle,low DPI: 72
corrected_322.jpg,Kaggle,low DPI: 72
corrected_323.jpg,Kaggle,low DPI: 72
corrected_324.jpg,Kaggle,low DPI: 72
corrected_325.jpg,Kaggle,low DPI: 72
corrected_326.jpg,Kaggle,low DPI: 72
